threshold,cost_won,recall,precision,f1
0.01,120100000,0.9764705882352941,0.1930232558139535,0.32233009708737864
0.015,100200000,0.9647058823529412,0.24404761904761904,0.38954869358669836
0.02,100700000,0.9529411764705882,0.26129032258064516,0.41012658227848103
0.025,96400000,0.9411764705882353,0.29850746268656714,0.45325779036827196
0.03,92200000,0.9411764705882353,0.31496062992125984,0.471976401179941
0.035,85600000,0.9411764705882353,0.3448275862068966,0.5047318611987381
0.04,91200000,0.9294117647058824,0.3542600896860987,0.512987012987013
0.045000000000000005,87600000,0.9294117647058824,0.3744075829383886,0.5337837837837838
0.05,85500000,0.9294117647058824,0.3872549019607843,0.5467128027681661
0.055,80400000,0.9294117647058824,0.42245989304812837,0.5808823529411765
0.060000000000000005,77700000,0.9294117647058824,0.4438202247191011,0.6007604562737643
0.065,83600000,0.9176470588235294,0.4588235294117647,0.611764705882353
0.06999999999999999,99000000,0.8941176470588236,0.4578313253012048,0.6055776892430279
0.075,96900000,0.8941176470588236,0.4779874213836478,0.6229508196721312
0.08,95700000,0.8941176470588236,0.49032258064516127,0.6333333333333333
0.08499999999999999,101600000,0.8823529411764706,0.5102040816326531,0.646551724137931
0.09,101300000,0.8823529411764706,0.5136986301369864,0.6493506493506493
0.095,100100000,0.8823529411764706,0.528169014084507,0.6607929515418502
0.09999999999999999,107500000,0.8705882352941177,0.5323741007194245,0.6607142857142857
0.105,112800000,0.8588235294117647,0.5658914728682171,0.6822429906542056
0.11,112800000,0.8588235294117647,0.5658914728682171,0.6822429906542056
0.11499999999999999,111300000,0.8588235294117647,0.5887096774193549,0.6985645933014354
0.12,110400000,0.8588235294117647,0.6033057851239669,0.7087378640776699
0.125,109500000,0.8588235294117647,0.6186440677966102,0.7192118226600985
0.13,108000000,0.8588235294117647,0.6460176991150443,0.7373737373737373
0.135,107100000,0.8588235294117647,0.6636363636363637,0.7487179487179487
0.14,106200000,0.8588235294117647,0.6822429906542056,0.7604166666666666
0.14500000000000002,105300000,0.8588235294117647,0.7019230769230769,0.7724867724867724
0.15000000000000002,112700000,0.8470588235294118,0.7128712871287128,0.7741935483870968
0.155,112400000,0.8470588235294118,0.72,0.7783783783783784
0.16,111500000,0.8470588235294118,0.7422680412371134,0.7912087912087912
0.165,111200000,0.8470588235294118,0.75,0.7955801104972375
0.17,110900000,0.8470588235294118,0.7578947368421053,0.8
0.17500000000000002,110600000,0.8470588235294118,0.7659574468085106,0.8044692737430168
0.18000000000000002,110300000,0.8470588235294118,0.7741935483870968,0.8089887640449438
0.18500000000000003,110300000,0.8470588235294118,0.7741935483870968,0.8089887640449438
0.19,110300000,0.8470588235294118,0.7741935483870968,0.8089887640449438
0.195,109700000,0.8470588235294118,0.7912087912087912,0.8181818181818182
0.2,109700000,0.8470588235294118,0.7912087912087912,0.8181818181818182
0.20500000000000002,117400000,0.8352941176470589,0.797752808988764,0.8160919540229885
0.21000000000000002,117100000,0.8352941176470589,0.8068181818181818,0.8208092485549133
0.21500000000000002,117100000,0.8352941176470589,0.8068181818181818,0.8208092485549133
0.22,117100000,0.8352941176470589,0.8068181818181818,0.8208092485549133
0.225,117100000,0.8352941176470589,0.8068181818181818,0.8208092485549133
0.23,117100000,0.8352941176470589,0.8068181818181818,0.8208092485549133
